"나주시",849,791,692,717,774,675,629,572,565,682,671,645,809,902
"광양시",1495,1444,1471,1501,1669,1594,1601,1793,1783,1934,1761,1691,1680,1447
"담양군",335,369,341,354,408,342,368,364,319,382,350,363,334,314
"곡성군",265,239,245,258,235,232,215,197,216,176,181,150,158,144
"구례군",243,202,207,198,238,196,199,179,198,168,175,149,156,145
"고흥군",546,475,494,405,466,417,432,399,352,327,283,251,236,270
"보성군",349,344,301,389,549,385,382,438,431,410,308,314,295,244
"화순군",980,884,746,694,791,628,624,584,581,527,443,408,372,332
"장흥군",304,319,287,253,283,272,248,234,226,250,246,225,212,163
"강진군",304,254,306,321,446,437,401,473,471,411,363,349,301,270
"해남군",659,624,617,612,652,610,530,596,518,832,808,835,839,786
"영암군",772,674,603,601,755,660,666,723,722,701,665,601,602,504
"무안군",486,451,430,452,533,532,630,742,672,672,599,630,641,612
"함평군",294,267,259,254,272,243,262,242,266,279,237,249,202,205
"영광군",533,504,453,440,531,452,463,472,470,487,417,432,415,403
"장성군",496,434,404,382,442,416,390,406,415,427,360,378,440,385
"완도군",431,430,360,386,408,334,338,437,422,449,389,421,379,386
"진도군",274,224,204,236,280,219,227,241,249,249,210,211,206,181
"신안군",252,291,255,254,311,255,262,271,259,264,228,244,217,217
"경상북도",25241,23372,22201,22436,24947,23538,22373,23699,24250,24635,22206,22062,22310,20616
"포항시",4572,4212,4070,4040,4388,4301,4201,4587,4645,4817,4548,4514,4604,4088
"경주시",2649,2436,2193,2237,2391,2181,2029,2071,1961,2020,1774,1739,1743,1627
"김천시",1169,1117,1023,1036,1301,1290,1152,1119,1076,1154,998,980,1012,1123
"안동시",1431,1352,1261,1256,1507,1432,1478,1586,1613,1640,1497,1327,1475,1330
"구미시",5147,4867,4719,4841,5208,4837,4388,4775,5079,5386,4790,4917,4760,4286
"영주시",987,852,811,836,828,798,762,791,799,850,703,668,654,611
"영천시",923,794,707,724,770,784,735,827,802,802,711,719,723,631
"상주시",774,689,686,625,696,689,703,692,638,657,577,551,564,510
"문경시",501,455,448,388,486,464,503,544,613,604,547,531,526,442
"경산시",2475,2383,2218,2400,2822,2523,2488,2423,2563,2660,2451,2490,2477,2509
"군위군",142,149,187,161,174,168,129,110,135,138,99,111,97,101
"의성군",306,285,329,322,367,340,305,315,298,287,256,255,249,265
"청송군",206,186,174,153,199,172,139,121,148,159,137,142,137,118
"영양군",123,96,122,104,118,110,83,84,81,96,109,105,90,74
"영덕군",289,231,249,269,288,224,231,251,212,218,204,211,215,163
"청도군",244,239,201,226,269,190,200,197,212,193,162,146,175,163
"고령군",255,252,219,247,260,257,229,239,237,282,248,258,255,205
"성주군",310,287,263,282,277,276,270,258,300,323,283,284,319,303
"칠곡군",1615,1470,1385,1392,1599,1592,1444,1790,1905,1426,1270,1263,1361,1307
"예천군",309,280,261,269,282,243,231,257,285,255,238,220,252,238
"봉화군",215,222,203,206,235,235,221,270,230,243,202,205,193,181
"울진군",543,462,408,349,399,356,389,342,357,367,347,380,374,303
"울릉군",56,56,64,73,83,76,63,50,61,58,55,46,55,38
"경상남도",31866,30709,28298,29372,33184,31493,30320,32203,32536,33211,29504,29763,29537,27138
"경남 창원시",6038,5557,5055,4894,5561,5158,4931,-,-,-,-,-,-,-
"경남 마산시",3742,3664,3398,3349,3701,3290,3098,-,-,-,-,-,-,-
"진주시",3229,3072,2715,2889,3090,2863,2613,2876,2905,2866,2614,2737,2687,2624
"경남 진해시",2074,2041,1825,2136,2375,2358,2302,-,-,-,-,-,-,-
"통영시",1178,1115,1078,1149,1356,1449,1433,1583,1584,1551,1193,1273,1233,1059
"사천시",1197,1066,951,1017,1169,1139,1102,1134,1098,1161,1031,1024,968,871
"김해시",5225,5236,5002,5181,5800,5376,5267,5607,5473,5629,5060,5287,5182,4700
"밀양시",843,747,737,690,820,715,659,686,628,666,561,562,617,638
"거제시",2484,2516,2365,2616,3014,3028,3182,3380,3411,3593,3280,3389,3533,3233
"양산시",2514,2403,2227,2437,2659,2618,2439,2706,2960,2935,2671,2961,3079,2901
"창원시",-,-,-,-,-,-,-,10865,11223,11627,10207,9684,9526,8574
"의령군",191,195,161,155,200,219,231,224,203,217,157,180,141,123
"함안군",508,473,426,476,666,657,633,604,548,547,521,490,510,474
"창녕군",310,386,342,352,391,359,326,344,381,386,390,380,374,389
"고성군",351,322,305,322,349,406,413,467,438,453,378,349,315,273
"남해군",269,276,219,244,292,270,252,242,219,185,155,192,182,140
"하동군",351,355,317,301,361,320,277,317,283,292,213,224,240,228
"산청군",238,220,214,207,253,198,187,214,234,206,209,225,234,207
"함양군",297,261,266,296,312,277,262,276,222,237,238,223,209,178
"거창군",440,478,406,395,474,460,407,421,442,415,393,376,338,352
"합천군",387,326,289,266,341,333,306,257,284,245,233,207,169,174
"제주특별자치도",6506,5999,5673,5806,6143,5593,5433,5657,5628,5992,5328,5526,5600,5494
"제주시",3976,3483,3210,4210,4500,4090,4002,4249,4257,4672,4191,4381,4364,4228
"서귀포시",841,828,781,1596,1643,1503,1431,1408,1371,1320,1137,1145,1236,1266
