"행정구역별",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"전라북도",4.14,5.24,6.90,9.63,11.01,13.36,14.29,17.18,16.06,16.71,17.35,17.85,17.54
"전주시",2.91,3.86,5.63,6.72,6.89,7.76,7.56,9.04,8.52,8.63,9.69,10.11,9.51
"군산시",5.58,7.17,8.36,9.20,11.13,10.99,11.61,11.74,11.61,11.50,13.65,14.38,13.29
"익산시",5.84,6.20,7.22,9.52,11.48,15.52,15.98,22.45,18.40,20.56,20.55,21.70,21.85
"정읍시",2.58,3.78,6.20,11.88,15.29,19.54,18.10,21.31,21.58,22.61,21.97,22.19,20.69
"남원시",4.90,6.23,6.41,7.67,12.33,16.98,17.11,25.06,20.58,21.84,23.13,21.02,21.21
"김제시",3.61,3.80,4.87,7.98,9.22,17.74,21.10,29.68,25.78,26.00,26.31,29.96,31.56
"완주군",9.56,13.34,14.35,31.25,33.75,34.62,30.99,24.67,31.89,31.34,29.89,28.77,26.23
"진안군",-,-,3.45,14.75,13.22,25.71,21.77,36.31,31.61,33.38,33.70,41.55,41.98
"무주군",-,-,3.86,7.87,7.59,7.69,7.75,19.55,15.47,15.80,15.75,19.69,19.83
"장수군",3.40,3.73,12.12,16.52,14.99,20.95,21.30,21.38,25.85,30.18,30.12,30.00,30.07
"임실군",2.92,6.06,9.23,12.51,15.65,19.27,26.06,22.88,19.49,20.03,20.18,16.69,19.82
"순창군",3.18,6.29,6.25,9.24,9.36,12.94,13.25,16.55,20.34,19.96,19.82,23.05,19.84
"고창군",7.18,7.67,10.99,11.28,14.76,16.58,16.64,21.36,16.65,16.55,16.52,14.98,16.65
"부안군",-,1.50,3.08,6.32,4.85,4.93,4.98,6.65,8.46,10.19,10.14,8.69,12.31
"전라남도",3.57,4.13,5.90,5.87,6.22,10.73,12.75,16.89,18.02,18.54,20.66,22.09,22.94
"목포시",7.45,8.27,9.05,7.45,8.63,10.58,6.14,9.37,11.03,10.61,12.87,10.87,13.00
"여수시",3.22,3.60,5.31,6.05,4.06,9.49,9.20,10.90,10.93,10.95,11.67,12.03,13.10
"순천시",3.71,3.70,3.69,3.70,4.07,5.94,5.19,8.44,10.29,10.23,10.88,10.46,11.84
"나주시",4.92,6.04,12.25,11.41,10.48,19.38,16.51,22.19,21.53,18.17,21.65,24.26,22.41
"광양시",-,-,-,0.72,2.16,7.07,9.76,12.37,12.61,13.92,15.17,14.46,14.32
"담양군",5.89,5.93,7.94,7.95,9.91,24.82,29.61,37.65,39.73,37.81,42.23,42.39,42.55
"곡성군",-,-,11.71,14.87,12.01,18.40,15.58,28.23,28.72,32.39,32.25,39.05,35.86
"구례군",-,-,3.38,3.47,3.55,10.83,10.90,14.61,14.59,18.47,25.82,25.76,25.63
"고흥군",-,1.15,2.39,-,1.27,7.83,9.32,14.88,19.28,20.96,21.24,21.54,23.32
"보성군",1.79,1.84,3.76,3.85,3.93,8.00,10.19,16.40,18.79,19.13,17.25,17.44,17.64
"화순군",2.63,4.00,5.43,4.13,4.19,11.38,12.92,18.74,21.74,21.94,19.17,22.46,25.82
"장흥군",-,2.15,4.39,4.50,9.20,9.35,16.63,16.51,16.45,16.40,16.28,13.89,13.79
"강진군",2.23,2.30,7.03,4.77,4.84,12.15,12.15,16.82,19.23,22.37,22.46,20.07,20.64
"해남군",6.67,6.84,6.96,10.67,10.91,11.11,11.09,17.59,22.98,23.03,23.17,23.38,22.31
