"행정구역별",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"청도군",6360,4035,4747,5145,5094,4417,4608,5331,4760,4472,4437,5159,4771,4533
"고령군",4119,3936,4348,4917,4587,4055,4023,4078,4395,3561,3570,3497,3322,3108
"성주군",4713,4732,5107,5072,4845,4422,5732,4927,5512,4731,4665,5108,5154,4936
"칠곡군",15321,15154,16599,19514,18488,17193,16763,15503,15168,14671,14493,13902,15051,13277
"예천군",3892,3971,4236,4933,4798,4321,4521,4233,3855,3854,3830,3681,3621,5814
"봉화군",5524,3051,3241,3556,3648,3546,3368,3467,3090,2963,3100,3279,2839,2875
"울진군",6049,5439,5502,5520,5508,5130,5455,5219,5007,5294,5409,5793,5659,5366
"울릉군",1015,1241,1504,2760,2217,2144,2378,2494,2264,2185,2191,1749,1647,1599
"경상남도",523882,474081,493352,496713,491542,487356,485349,481955,473757,414556,427658,462239,455384,411952
"경남 창원시",85863,77953,78147,83584,76271,71717,71248,-,-,-,-,-,-,-
"경남 마산시",70777,63836,63737,65581,56283,51191,51258,-,-,-,-,-,-,-
"진주시",57174,56225,57083,56509,52999,53793,51274,56266,52299,50257,41388,53558,51933,47115
"경남 진해시",43357,30123,35632,37283,29937,35347,32361,-,-,-,-,-,-,-
"통영시",21376,21451,23161,22136,23311,24693,24198,26196,20302,18173,19214,19591,18473,17866
"사천시",15602,15807,17425,19989,19746,17982,17724,17697,17548,15984,16212,14351,14643,14164
"김해시",81515,80833,75174,71305,70840,69011,73237,67526,60595,56720,69625,69281,62019,56318
"밀양시",13514,13520,13151,12886,15380,13504,14411,12631,12108,11876,11928,12372,13108,12610
"거제시",30174,28248,31972,30678,32939,40218,45829,37848,39245,39915,43678,46888,48655,38264
"양산시",42928,33700,41931,36098,39193,46640,43215,45659,46751,36617,44588,51736,47532,54218
"창원시",-,-,-,-,-,-,-,160657,163566,133377,132375,142561,146924,122663
"의령군",3819,4502,3361,4787,4424,4020,3912,3527,3564,3961,2916,3283,2739,2718
"함안군",7628,7299,7613,11061,9404,9796,9069,8977,8430,8375,7621,9069,8677,7498
"창녕군",6196,6308,6722,7112,6627,6319,6837,6891,7604,7445,7037,6937,7761,7924
"고성군",4802,5076,5239,5854,6485,7073,8180,6718,6656,5662,5260,5485,5071,4704
"남해군",4252,4462,4144,4394,11115,4573,5167,4972,6551,4040,3613,3963,3568,3573
"하동군",8187,5541,5034,6192,12002,7799,6565,6181,10284,4810,4636,4733,7170,5657
"산청군",3738,3609,4005,4124,4189,3938,3896,4413,3861,3901,3901,3810,3983,3739
"함양군",3349,3387,3722,4398,3985,4006,4169,4756,3964,3547,3485,3512,3329,3632
"거창군",5798,5317,5170,5541,6851,5547,5577,5682,5243,4887,4836,4920,4734,4922
"합천군",13833,6884,10929,7201,9561,10189,7222,5358,5186,5009,5345,6189,5065,4367
"제주특별자치도",98415,102978,93041,88992,83294,80124,76575,77224,82708,79501,88851,92508,97580,106825
"제주시",61961,63157,62631,71071,64734,61199,59783,59884,65379,61508,69526,70345,71330,77839
"서귀포시",13026,14247,12304,17921,18560,18925,16792,17340,17329,17993,19325,22163,26250,28986
