"행정구역별",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"충주시",2.87,2.89,4.37,4.89,5.36,4.36,5.81,5.76,7.68,7.68,7.69,7.67,7.70,7.20
"제천시",5.69,6.48,5.79,6.60,8.08,8.10,8.85,8.74,8.72,8.73,9.47,9.50,9.55,9.52
"청주시",-,-,-,-,-,-,-,-,-,-,-,4.93,4.81,4.91
"충북 청원군",4.95,5.85,6.68,7.32,7.69,7.43,7.34,7.19,8.21,8.40,9.03,-,-,-
"보은군",5.13,5.25,5.39,5.51,11.31,11.41,14.35,14.30,14.40,14.52,14.57,14.60,14.58,14.61
"옥천군",3.48,3.53,3.60,3.64,7.32,11.01,11.09,11.11,11.22,13.15,11.37,13.34,11.45,11.48
"영동군",5.55,5.70,5.79,5.90,7.98,9.95,15.86,15.83,13.83,13.82,15.83,17.72,17.75,17.80
"진천군",5.02,4.97,6.65,6.65,6.65,8.24,9.76,9.66,7.93,9.46,10.83,13.81,11.77,11.44
"괴산군",2.47,2.53,2.59,2.66,8.14,8.20,10.88,10.86,10.71,10.61,13.14,13.04,15.47,15.40
"음성군",3.50,3.50,3.49,3.46,6.79,6.70,7.80,7.68,7.64,7.53,7.49,7.34,9.34,9.20
"단양군",8.40,8.63,8.79,12.00,15.43,15.66,18.84,18.86,18.99,19.20,22.46,25.85,26.01,26.23
"증평군",9.58,9.71,9.80,9.84,12.84,12.43,15.08,14.91,11.76,11.67,14.47,17.26,16.36,16.08
"충청남도",4.03,4.15,4.38,5.01,5.66,5.80,6.67,6.55,6.38,6.51,7.18,7.23,7.41,7.54
"천안시",2.41,2.19,2.15,2.29,3.01,3.16,3.88,3.77,3.68,3.78,4.06,4.01,4.13,4.21
"공주시",7.64,8.44,8.49,10.13,12.64,13.58,14.50,14.41,13.63,13.64,14.61,14.96,15.28,15.46
"보령시",6.34,7.35,7.40,7.44,7.43,7.48,8.43,8.38,7.52,7.58,9.53,9.59,10.50,10.59
"아산시",4.66,4.48,4.40,5.20,4.97,4.57,5.07,4.90,4.37,4.63,4.88,4.76,5.04,5.28
"서산시",3.29,3.33,3.33,3.31,3.91,3.82,3.78,3.74,3.72,3.67,4.22,4.18,4.12,4.10
"논산시",3.68,3.69,3.73,5.32,5.41,4.69,5.51,5.49,5.49,5.53,5.56,5.61,5.63,5.68
"계룡시",-,-,2.91,2.71,2.65,2.41,7.02,6.96,9.31,7.22,9.77,9.86,9.59,9.38
"당진시",-,-,-,-,-,-,-,-,-,6.45,6.89,6.75,7.27,4.20
"금산군",8.23,9.99,11.99,12.16,12.13,14.10,21.34,21.22,17.85,17.95,23.45,23.57,23.69,21.97
"충남 연기군",3.63,4.74,4.74,4.83,6.25,6.36,6.29,6.11,6.03,-,-,-,-,-
"부여군",2.35,2.40,2.46,5.03,7.70,9.13,9.26,9.33,9.46,9.56,9.65,11.15,11.24,18.52
"서천군",2.97,3.05,3.11,4.79,4.90,4.96,8.32,8.32,6.72,6.79,8.56,8.66,8.79,14.28
"청양군",2.70,2.81,2.86,5.87,8.93,9.07,9.20,9.22,9.29,9.35,9.33,12.40,12.31,15.27
"홍성군",3.17,3.29,3.30,5.58,6.77,6.80,6.85,6.81,7.94,9.05,8.92,8.71,8.46,5.00
"예산군",6.31,6.53,6.61,6.70,7.89,9.08,9.18,9.20,10.41,10.48,11.74,11.78,13.18,9.84
"태안군",6.26,6.27,6.27,6.27,7.93,7.89,7.92,7.91,7.97,9.59,11.22,11.19,11.03,18.78
"충남 당진군",3.43,3.40,5.81,5.60,4.40,4.40,5.76,5.52,5.99,-,-,-,-,-
"전라북도",3.89,4.25,4.46,4.87,4.78,5.66,6.42,6.37,5.98,6.25,7.15,7.91,7.97,8.37
"전주시",2.91,3.05,3.06,3.04,2.40,3.17,4.09,4.05,3.56,3.54,4.31,4.90,4.91,5.37
"군산시",2.23,2.26,2.28,2.30,2.69,2.65,2.62,2.57,2.90,2.87,3.95,3.96,4.31,4.32
"익산시",3.07,3.10,3.14,3.17,3.51,4.53,4.57,4.56,4.52,4.89,5.55,5.59,5.96,6.99
"정읍시",3.86,4.54,4.65,4.75,5.63,7.33,8.23,8.20,7.47,8.38,9.30,9.39,9.48,10.42
"남원시",2.94,4.16,4.27,4.38,6.72,7.92,7.98,7.97,8.00,8.05,8.10,10.51,10.61,9.50
"김제시",6.32,7.60,8.76,8.98,8.20,8.35,8.44,8.48,9.67,9.75,8.77,8.88,9.02,10.25
"완주군",5.98,7.27,8.37,8.41,7.23,7.16,9.54,9.40,8.27,9.28,13.80,16.60,16.79,16.76
"진안군",9.84,9.75,10.34,14.75,13.22,14.69,18.14,18.15,14.05,14.84,18.72,18.89,15.27,15.34
"무주군",14.97,15.28,15.46,19.67,18.97,19.22,23.25,23.46,19.33,19.75,23.62,35.45,31.72,32.07
"장수군",6.79,11.20,12.12,12.39,11.24,16.76,17.04,17.10,17.23,17.25,17.21,17.14,17.18,16.93
"임실군",11.67,12.12,12.30,12.51,12.52,12.85,19.54,19.61,12.99,13.35,16.81,16.69,16.52,16.56
"순창군",6.35,6.29,9.37,12.31,15.61,16.17,19.88,19.86,16.95,16.64,19.82,23.05,23.14,23.37
"고창군",2.87,3.07,3.14,3.22,4.92,9.95,9.98,9.86,11.65,11.58,11.57,11.65,11.66,11.55
"부안군",5.88,5.99,6.15,7.91,8.08,9.86,9.97,9.98,10.16,13.59,11.83,13.90,14.07,14.03
"전라남도",3.92,4.18,4.32,4.68,6.17,6.41,7.53,7.51,7.78,8.48,9.07,9.39,9.48,10.03
"목포시",2.07,2.07,2.06,2.48,2.88,2.85,4.09,4.07,4.08,4.08,4.98,5.44,5.87,6.73
"여수시",1.93,1.97,1.99,2.35,3.05,3.39,3.75,3.75,3.42,3.76,3.78,3.09,3.10,4.15
"순천시",2.96,2.96,2.95,2.96,3.70,3.71,4.08,4.03,4.78,5.48,5.44,5.41,5.38,5.74
