"행정구역별",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"영양군",1259,1227,1214,1224,1185,1136,1127,1127,1194,1222,1214,1251,1271,1290
"영덕군",3479,3430,3478,3525,3570,3432,3372,3413,3425,3512,3601,3785,3847,3758
"청도군",3162,3177,3087,3069,3102,3142,3117,3128,3194,3319,3473,3704,3779,3843
"고령군",2479,2486,2569,2520,2618,2699,2769,2819,2899,3071,3369,3580,3680,3845
"성주군",2933,2948,2998,3086,3066,3030,3009,3114,3261,3331,3548,3967,4259,4218
"칠곡군",6945,6980,7203,7281,7557,7800,7968,8214,8896,9383,10005,10607,10976,11370
"예천군",3420,3250,3172,3105,3132,3109,3084,3067,3083,3128,3155,3288,3327,3280
"봉화군",2553,2513,2471,2371,2310,2299,2309,2295,2327,2337,2397,2401,2433,2497
"울진군",4317,4173,4045,3990,3983,4033,4017,4005,4114,4249,4436,4473,4531,4550
"울릉군",1086,1036,1107,1065,1058,1024,1029,1073,1066,1084,1108,1273,1258,1238
"경상남도",207250,207774,211230,213137,216280,218683,221507,224641,230795,242123,248913,258713,262950,268906
"경남 창원시",31886,31837,32435,32504,32517,32723,32888,-,-,-,-,-,-,-
"경남 마산시",30795,30603,30446,30421,30452,30701,30756,-,-,-,-,-,-,-
"진주시",25660,25436,25474,25335,25535,25451,25849,26011,26502,26988,27409,27964,28055,29074
"경남 진해시",8405,8604,8829,9038,9126,9209,9385,-,-,-,-,-,-,-
"통영시",9635,9363,9182,9084,9245,9421,9616,9805,10275,10514,10647,10900,11034,11147
"사천시",8078,8036,8030,8034,8146,8322,8313,8365,8677,8971,9357,9540,9591,9742
"김해시",25114,26088,28004,29375,31148,32260,33054,34861,36512,38275,40179,42029,43387,44218
"밀양시",7937,7882,7839,7778,7735,7649,7705,7820,8026,8122,8424,8919,8966,8927
"거제시",10843,10993,11405,11695,11901,12118,12474,12834,13359,13820,14161,14962,15326,15649
"양산시",13833,14360,14838,15160,15636,16166,16573,17028,18127,19051,19907,21248,21904,23570
"창원시",-,-,-,-,-,-,-,73132,73470,79305,80093,82240,83187,84991
"의령군",2024,1919,1861,1786,1787,1773,1766,1765,1805,1816,1920,1963,1933,1948
"함안군",3989,4010,4251,4442,4604,4718,4692,4744,5198,5594,5965,6497,6906,6882
"창녕군",4206,4170,4284,4224,4189,4164,4260,4354,4492,4582,4698,4961,5163,5322
"고성군",3839,3747,3596,3690,3736,3704,3837,3824,3990,4102,4408,4618,4552,4376
"남해군",3851,3733,3845,3818,3825,3907,3988,4019,3973,4098,4211,4370,4388,4452
"하동군",3734,3741,3813,3687,3613,3547,3490,3373,3403,3428,3572,3853,3927,3950
"산청군",2476,2401,2304,2293,2272,2231,2215,2190,2206,2291,2459,2864,3119,3074
"함양군",2875,2871,2899,2877,2925,2965,2995,3007,3091,3244,3287,3453,3372,3420
"거창군",4392,4313,4376,4409,4384,4305,4278,4256,4338,4438,4593,4706,4705,4774
"합천군",3678,3667,3519,3487,3504,3349,3373,3253,3351,3484,3623,3626,3435,3390
"제주특별자치도",42136,42531,43305,43609,44246,44307,45990,45830,47144,49252,51727,53897,55155,57791
"제주시",-,-,-,-,-,-,-,-,-,-,-,-,40917,43021
"서귀포시",-,-,-,-,-,-,-,-,-,-,-,-,14238,14770
