행정구역별,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
장흥군,37.1,39.1,38.7,40.2,40.1,43.3,52.5,53.7,57.4,69.2,77.2,77.9
강진군,39.4,40,40.6,41.3,41.9,42.4,46.6,50.6,51.6,54.5,57.6,58.7
해남군,38.4,39.6,41.5,41.6,45.3,45.3,46.2,50.1,52.5,59.3,60.9,66.4
영암군,57.6,59.9,61.8,64.6,66.5,71.6,73.9,75.6,77,80.6,80.7,81.5
무안군,29.2,29.5,30.2,40.4,43.4,50.1,54.8,65.4,70,79,86.4,92.4
함평군,35.1,35.4,35,36.1,37.9,40.3,41.1,44.1,46.6,58.4,68,76.9
영광군,61.5,62.6,66.9,72.9,75.7,81.6,84.8,87.8,89.5,90.3,91.5,91.5
장성군,25.2,26,33.8,36,38.8,41.6,42.1,45.1,53.9,72.5,82.4,86.2
완도군,57.6,65.8,66.8,68.9,72.1,76.3,77.8,77.9,77.9,94.6,96.2,96.4
진도군,47.4,50,53.9,59.2,62.8,67.9,91.4,93,98.3,98.7,99.2,99.3
신안군,29.1,35,44.6,53.1,59.9,77,77.3,77.7,87.8,87.3,88.5,89
경상북도,76.1,77.7,78.7,80.7,82.3,83.5,84.9,85.7,87.2,88.5,89.4,90.2
포항시,90,90.6,91,91.3,92.7,92.7,93.1,94,94.2,94.3,94.5,94.7
경주시,73.2,75.3,76.1,80.6,84.8,85.6,86.5,87.8,88.5,89.1,89.7,90.5
김천시,63.2,68.9,71.4,75.5,76.2,78,78.9,79.8,81.1,83.7,84.3,85.8
안동시,77.6,78.8,80.5,81.2,82.3,82.6,83.9,84.5,88.8,89.5,90.7,91
구미시,94.7,95.2,95.6,96.3,96.7,97.5,97.9,98.1,98.1,98.6,98.9,99.1
영주시,79.2,79.3,79.6,80,80.5,81.2,81.6,82.6,85,86.7,87.2,87.6
영천시,72.5,75.6,77.8,79.8,80.5,82.3,84.1,85.3,89.6,91.6,93,93.3
상주시,62.3,62.6,63.3,64.6,65.7,66,67.5,67.5,69.8,76.8,75.6,73.9
문경시,79.6,80.4,81,82,82.3,87.8,87.8,88.2,87.7,87.6,89,89.4
경산시,90.7,91,91.5,95.8,95.3,96.9,98.3,97.7,98.1,98.8,98.9,98.9
군위군,42,46.3,50.2,48.6,56.7,60.4,74,68.7,65.6,74.9,70.3,72
의성군,43.9,41.7,40.5,43.8,45,44.5,52.5,55.2,63.5,65.1,68.5,75.6
청송군,47.5,49,53.5,54.7,57.2,61.1,61.5,65.3,65.8,66.1,66.2,67.8
영양군,47.1,47.1,53.2,52.1,53.9,63.6,70.5,74.8,78,80.8,87.9,89.9
