"행정구역별",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"남구",-0.07,-0.04,0.00,-0.21,-0.72,0.56,0.03,0.15,0.03,0.98,0.74,-0.20,-1.14,-0.90
"동구",-0.22,-0.33,-0.21,1.06,-2.03,-3.01,-1.51,-1.36,0.98,2.21,2.53,-0.39,-1.30,-1.03
"북구",5.95,5.56,5.01,2.13,4.75,7.03,3.21,3.36,2.89,0.84,0.92,1.72,1.33,2.14
"울주군",1.71,0.42,0.11,2.17,3.88,4.77,1.96,2.91,2.24,1.59,0.74,3.27,2.57,-0.45
"경기도",3.62,2.58,2.11,2.34,2.10,1.84,1.54,2.94,1.39,1.16,1.36,1.28,1.43,1.54
"수원시",1.60,0.18,1.20,2.62,0.44,0.34,0.71,0.57,1.22,2.66,2.66,2.60,1.06,0.76
"성남시",2.54,1.62,0.67,-1.52,-0.96,-1.02,2.16,1.79,-0.01,-0.22,0.11,-0.31,-0.26,0.25
"의정부시",4.37,0.72,1.23,2.25,2.82,2.26,0.02,0.11,-0.36,-0.35,0.40,0.06,0.69,1.04
"안양시",1.79,2.77,0.68,0.04,0.16,-0.53,-0.61,0.85,-0.89,-0.80,-0.57,-1.04,-0.47,-0.13
"부천시",3.84,1.40,-0.13,0.79,0.73,0.62,0.33,0.67,-0.15,-0.40,-0.57,-0.70,-0.64,0.30
"광명시",-1.20,-1.32,-1.00,-4.18,0.13,-0.64,1.22,9.45,3.37,0.02,-0.64,-1.08,-0.88,-1.52
"평택시",2.53,1.72,3.54,3.73,1.65,1.15,0.89,2.52,1.94,1.63,2.08,2.21,2.67,2.42
"동두천시",2.36,6.03,4.30,3.79,3.54,2.52,2.76,2.64,0.51,0.86,0.57,0.30,0.52,0.35
"안산시",5.34,2.26,1.51,3.71,1.61,0.87,-0.21,1.94,0.80,-0.17,0.57,-0.17,-1.05,-1.23
"고양시",3.89,2.40,1.86,0.96,1.77,1.61,0.03,1.19,1.18,0.78,2.11,1.60,2.14,1.17
"과천시",-0.11,-2.83,-10.83,-0.54,2.84,11.50,3.69,0.29,-0.43,-1.26,-0.70,-0.60,-1.74,-7.52
"구리시",0.00,0.26,-0.42,0.79,1.63,-0.40,-0.15,0.38,-0.78,-1.32,-1.40,-1.48,-0.02,3.72
"남양주시",2.93,4.27,7.43,4.67,4.67,2.74,3.73,7.36,2.49,3.58,3.12,2.96,2.72,1.37
"오산시",2.53,2.69,7.00,5.39,7.31,3.44,6.38,14.27,6.45,3.20,2.97,2.12,-0.42,0.83
"시흥시",5.64,3.06,1.80,1.42,0.44,0.67,1.37,1.78,0.05,-0.21,0.56,0.43,1.21,1.03
"군포시",2.54,0.70,0.65,-0.87,0.53,1.04,-0.58,4.44,-0.13,-0.23,-0.07,1.02,-0.16,-0.97
